study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp
PRJNA393472	SAMN07515359	SRX3103487	SRR5945001	1632839	human vaginal metagenome	7b722b4d41b88da2f9e9cbfd8a8e6c42;9dabca1eaf92de3ecb901d892e54f956	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5945001/SRR5945001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5945001/SRR5945001_2.fastq.gz
PRJNA393472	SAMN07515293	SRX3103486	SRR5945002	1632839	human vaginal metagenome	b140a331fed2fc140c3038de0a4148f7;f8a474cdd3a80d84db5335091aa36fda	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5945002/SRR5945002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5945002/SRR5945002_2.fastq.gz
PRJNA393472	SAMN07515223	SRX3103478	SRR5945010	1632839	human vaginal metagenome	339a1b3d4b822edfae210e3035e1a085;57472ffa684156aa06588fcedb799ef4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5945010/SRR5945010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5945010/SRR5945010_2.fastq.gz
PRJNA393472	SAMN07515224	SRX3103477	SRR5945011	1632839	human vaginal metagenome	fa162c3562c9061f419be118e6174cd3;bb8916ca39e2e5aaf44a10886bb9a5b6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5945011/SRR5945011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5945011/SRR5945011_2.fastq.gz
PRJNA393472	SAMN07515207	SRX3103467	SRR5945021	1632839	human vaginal metagenome	98af67391f4c6aed68b3b40ad5fb7df8;5874d7193cef248d0b2195a9b3ba8fe5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5945021/SRR5945021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5945021/SRR5945021_2.fastq.gz
PRJNA393472	SAMN07515338	SRX3103466	SRR5945022	1632839	human vaginal metagenome	10166958b22117e9ccad7687d042add5;866c711bcd7b8b10a34e4b90ff10803a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5945022/SRR5945022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5945022/SRR5945022_2.fastq.gz
PRJNA393472	SAMN07515327	SRX3103463	SRR5945025	1632839	human vaginal metagenome	ad94ab525ea56f3b9f006288a8edf15e;a1c9228351c79f7750d784f78c1e4c6e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5945025/SRR5945025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5945025/SRR5945025_2.fastq.gz
PRJNA393472	SAMN07515322	SRX3103460	SRR5945028	1632839	human vaginal metagenome	2dc67ef34cc20b9891f0da649c3609c1;bcc2988cec411bfa4003af6d802205e1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5945028/SRR5945028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5945028/SRR5945028_2.fastq.gz
PRJNA393472	SAMN07515323	SRX3103459	SRR5945029	1632839	human vaginal metagenome	665c2a2ffc58f7a1739cc6ec1322c9ca;a38def7fa781f603bc4857ae175319cb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5945029/SRR5945029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5945029/SRR5945029_2.fastq.gz
PRJNA393472	SAMN07515204	SRX3103457	SRR5945031	1632839	human vaginal metagenome	fa3b371bf7aa96b7b9efc1842a759d00;ec0f00142ca9f06b56ce41cdfabcef89	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5945031/SRR5945031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5945031/SRR5945031_2.fastq.gz
PRJNA393472	SAMN07515203	SRX3103453	SRR5945035	1632839	human vaginal metagenome	6ef5b4684687007bff40f2319fc70166;c0ae8b33198479472a2dbeafa5397b7d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5945035/SRR5945035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5945035/SRR5945035_2.fastq.gz
PRJNA393472	SAMN07515260	SRX3103452	SRR5945036	1632839	human vaginal metagenome	3e14e80fcc4f03299254427f18fa7f37;4873e9db63775fd3651e91291c9a386b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5945036/SRR5945036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5945036/SRR5945036_2.fastq.gz
